national_road_type,number_of_accidents
Arterial Road,1
Sub-Arterial Road,1
National or State Highway,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
Collector Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Sub-Arterial Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Collector Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Collector Road,1
Sub-Arterial Road,1
Local Road,1
Local Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Sub-Arterial Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Sub-Arterial Road,1
Local Road,1
Arterial Road,1
Sub-Arterial Road,1
Local Road,1
National or State Highway,1
Collector Road,1
Arterial Road,1
Sub-Arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Sub-Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
Sub-Arterial Road,1
National or State Highway,1
Collector Road,1
Local Road,1
Sub-Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Collector Road,1
Collector Road,1
Local Road,1
National or State Highway,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
Sub-Arterial Road,1
Sub-Arterial Road,1
Local Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-Arterial Road,1
Pedestrian Thoroughfare,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Local Road,1
Local Road,1
Sub-Arterial Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
Local Road,1
Sub-Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
Local Road,1
Sub-Arterial Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Collector Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Collector Road,1
Local Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Sub-Arterial Road,1
Local Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
Arterial Road,1
Sub-Arterial Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Local Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
Access road ,1
Collector Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Collector Road,1
Sub-Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Sub-Arterial Road,1
National or State Highway,1
Collector Road,1
Collector Road,1
Arterial Road,1
Arterial Road,1
Collector Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Collector Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Local Road,1
Local Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Sub-Arterial Road,1
National or State Highway,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Collector Road,1
Local Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-Arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Local Road,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
Sub-Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Collector Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
Collector Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Sub-Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
Local Road,1
Collector Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Sub-Arterial Road,1
Local Road,1
Local Road,1
Local Road,1
Sub-Arterial Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Arterial Road,1
Sub-Arterial Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Sub-Arterial Road,1
National or State Highway,1
Local Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Collector Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Sub-Arterial Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Collector Road,1
National or State Highway,1
Collector Road,1
National or State Highway,1
Local Road,1
Sub-Arterial Road,1
National or State Highway,1
Local Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Local Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Local Road,1
Arterial Road,1
Sub-Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
Arterial Road,1
Collector Road,1
Local Road,1
Arterial Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
Sub-Arterial Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Sub-Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
Arterial Road,1
Collector Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Local Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Sub-Arterial Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Local Road,1
Sub-Arterial Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Collector Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Local Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Arterial Road,1
Local Road,1
Local Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
National or State Highway,1
Local Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Local Road,1
National or State Highway,1
Local Road,1
National or State Highway,1
Local Road,1
Sub-Arterial Road,1
Sub-Arterial Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Sub-Arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Collector Road,1
Sub-Arterial Road,1
National or State Highway,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Collector Road,1
National or State Highway,1
Sub-Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Access road ,1
Access road ,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Collector Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
Local Road,1
Local Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
National or State Highway,1
Sub-Arterial Road,1
Arterial Road,1
Local Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Local Road,1
Local Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Local Road,1
Local Road,1
Local Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Sub-Arterial Road,1
Arterial Road,1
Arterial Road,1
National or State Highway,1
Sub-Arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Access road ,1
Arterial Road,1
National or State Highway,1
Collector Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
Arterial Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Collector Road,1
Local Road,1
Sub-Arterial Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Sub-Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
National or State Highway,1
Sub-Arterial Road,1
National or State Highway,1
Sub-Arterial Road,1
Arterial Road,1
Sub-Arterial Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Sub-Arterial Road,1
Local Road,1
Sub-Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Local Road,1
Local Road,1
Arterial Road,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Arterial Road,1
Arterial Road,1
Collector Road,1
Collector Road,1
Arterial Road,1
Local Road,1
National or State Highway,1
National or State Highway,1
Arterial Road,1
Collector Road,1
Arterial Road,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
National or State Highway,1
Local Road,1
National or State Highway,1
Local Road,1
